date,stateCode,totalTokens,dataDay
2013-10-24,FL,928589,18
2013-10-24,GA,468091,18
2013-10-24,IA,113307,18
2013-10-24,ID,33664,18
2013-10-24,IL,114182,18
2013-10-24,IN,220620,18
2013-10-24,KS,86596,18
2013-10-24,KY,75210,18
2013-10-24,LA,262746,18
2013-10-24,MA,68699,18
2013-10-24,MD,183640,18
2013-10-24,ME,35275,18
2013-10-24,MI,590083,18
2013-10-24,MN,34911,18
2013-10-24,MO,49091,18
2013-10-24,MS,40817,18
2013-10-24,MT,7075,18
2013-10-24,NC,303652,18
2013-10-24,ND,4112,18
2013-10-24,NE,22599,18
2013-10-24,NH,13179,18
2013-10-24,NJ,62248,18
2013-10-24,NM,52539,18
2013-10-24,NV,187894,18
2013-10-24,NY,350032,18
2013-10-24,OH,566351,18
2013-10-24,OK,147450,18
2013-10-24,OR,63705,18
2013-10-24,PA,404891,18
2013-10-24,SC,190167,18
2013-10-24,SD,10463,18
2013-10-24,TN,201844,18
2013-10-24,TX,1582273,18
2013-10-24,UT,109503,18
2013-10-24,VA,169290,18
2013-10-24,VT,10282,18
2013-10-24,WA,268477,18
2013-10-24,WI,180233,18
2013-10-24,WV,61683,18
2013-10-24,WY,3174,18
2013-10-25,AL,225378,19
2013-10-25,AR,44077,19
2013-10-25,AZ,304693,19
2013-10-25,CA,1835613,19
2013-10-25,CO,154348,19
2013-10-25,CT,182574,19
2013-10-25,DE,12816,19
2013-10-25,FL,864753,19
2013-10-25,GA,398888,19
2013-10-25,IA,106764,19
2013-10-25,ID,30542,19
2013-10-25,IL,101462,19
2013-10-25,IN,202074,19
2013-10-25,KS,73286,19
2013-10-25,KY,58834,19
2013-10-25,LA,240652,19
2013-10-25,MA,59014,19
2013-10-25,MD,171921,19
2013-10-25,ME,30143,19
2013-10-25,MI,513097,19
2013-10-25,MN,27126,19
2013-10-25,MO,43030,19
2013-10-25,MS,40829,19
2013-10-25,MT,6847,19
2013-10-25,NC,278623,19
2013-10-25,ND,4902,19
2013-10-25,NE,20900,19
2013-10-25,NH,12752,19
2013-10-25,NJ,54890,19
2013-10-25,NM,52155,19
2013-10-25,NV,200664,19
2013-10-25,NY,319346,19
2013-10-25,OH,472639,19
2013-10-25,OK,124935,19
2013-10-25,OR,60432,19
2013-10-25,PA,362038,19
2013-10-25,SC,175277,19
2013-10-25,SD,11050,19
2013-10-25,TN,185860,19
2013-10-25,TX,1392245,19
2013-10-25,UT,97335,19
2013-10-25,VA,150340,19
2013-10-25,VT,10434,19
2013-10-25,WA,261630,19
2013-10-25,WI,173298,19
2013-10-25,WV,49956,19
2013-10-25,WY,2686,19
2013-10-26,AL,230657,20
2013-10-26,AR,43884,20
2013-10-26,AZ,277559,20
2013-10-26,CA,1859991,20
2013-10-26,CO,152666,20
2013-10-26,CT,186265,20
2013-10-26,DE,12798,20
2013-10-26,FL,868948,20
2013-10-26,GA,427395,20
2013-10-26,IA,103999,20
2013-10-26,ID,26241,20
2013-10-26,IL,106950,20
2013-10-26,IN,192255,20
2013-10-26,KS,78304,20
2013-10-26,KY,54747,20
2013-10-26,LA,212189,20
2013-10-26,MA,64586,20
2013-10-26,MD,172285,20
2013-10-26,ME,33112,20
2013-10-26,MI,521634,20
2013-10-26,MN,24562,20
2013-10-26,MO,48692,20
2013-10-26,MS,39379,20
2013-10-26,MT,6809,20
2013-10-26,NC,284037,20
2013-10-26,ND,3416,20
2013-10-26,NE,26458,20
2013-10-26,NH,12424,20
