date,stateCode,word,cases
2013-12-23,MI,bruhhh,1
2013-12-23,MI,fleek,0
2013-12-23,MN,anime,0
2013-12-23,MN,bae,4
2013-12-23,MN,boi,0
2013-12-23,MN,bruhhh,0
2013-12-23,MN,fleek,0
2013-12-23,MO,anime,0
2013-12-23,MO,bae,13
2013-12-23,MO,boi,1
2013-12-23,MO,bruhhh,0
2013-12-23,MO,fleek,0
2013-12-23,MS,anime,0
2013-12-23,MS,bae,51
2013-12-23,MS,boi,0
2013-12-23,MS,bruhhh,3
2013-12-23,MS,fleek,0
2013-12-23,MT,anime,0
2013-12-23,MT,bae,1
2013-12-23,MT,boi,0
2013-12-23,MT,bruhhh,0
2013-12-23,MT,fleek,0
2013-12-23,NC,anime,4
2013-12-23,NC,bae,155
2013-12-23,NC,boi,12
2013-12-23,NC,bruhhh,0
2013-12-23,NC,fleek,0
2013-12-23,ND,anime,0
2013-12-23,ND,bae,1
2013-12-23,ND,boi,0
2013-12-23,ND,bruhhh,0
2013-12-23,ND,fleek,0
2013-12-23,NE,anime,0
2013-12-23,NE,bae,1
2013-12-23,NE,boi,0
2013-12-23,NE,bruhhh,0
2013-12-23,NE,fleek,0
2013-12-23,NH,anime,0
2013-12-23,NH,bae,1
2013-12-23,NH,boi,0
2013-12-23,NH,bruhhh,0
2013-12-23,NH,fleek,0
2013-12-23,NJ,anime,0
2013-12-23,NJ,bae,15
2013-12-23,NJ,boi,4
2013-12-23,NJ,bruhhh,1
2013-12-23,NJ,fleek,0
2013-12-23,NM,anime,0
2013-12-23,NM,bae,8
2013-12-23,NM,boi,0
2013-12-23,NM,bruhhh,0
2013-12-23,NM,fleek,0
2013-12-23,NV,anime,1
2013-12-23,NV,bae,39
2013-12-23,NV,boi,2
2013-12-23,NV,bruhhh,2
2013-12-23,NV,fleek,0
2013-12-23,NY,anime,2
2013-12-23,NY,bae,47
2013-12-23,NY,boi,8
2013-12-23,NY,bruhhh,0
2013-12-23,NY,fleek,0
2013-12-23,OH,anime,2
2013-12-23,OH,bae,176
2013-12-23,OH,boi,28
2013-12-23,OH,bruhhh,2
2013-12-23,OH,fleek,0
2013-12-23,OK,anime,2
2013-12-23,OK,bae,35
2013-12-23,OK,boi,5
2013-12-23,OK,bruhhh,0
2013-12-23,OK,fleek,0
2013-12-23,OR,anime,1
2013-12-23,OR,bae,4
2013-12-23,OR,boi,2
2013-12-23,OR,bruhhh,0
2013-12-23,OR,fleek,0
2013-12-23,PA,anime,2
2013-12-23,PA,bae,63
2013-12-23,PA,boi,7
2013-12-23,PA,bruhhh,0
2013-12-23,PA,fleek,0
2013-12-23,SC,anime,3
2013-12-23,SC,bae,94
2013-12-23,SC,boi,9
2013-12-23,SC,bruhhh,0
2013-12-23,SC,fleek,0
2013-12-23,SD,anime,0
2013-12-23,SD,bae,0
2013-12-23,SD,boi,0
2013-12-23,SD,bruhhh,0
2013-12-23,SD,fleek,0
2013-12-23,TN,anime,2
2013-12-23,TN,bae,44
2013-12-23,TN,boi,4
2013-12-23,TN,bruhhh,1
2013-12-23,TN,fleek,0
2013-12-23,TX,anime,14
2013-12-23,TX,bae,952
2013-12-23,TX,boi,52
2013-12-23,TX,bruhhh,11
2013-12-23,TX,fleek,0
2013-12-23,UT,anime,2
2013-12-23,UT,bae,8
2013-12-23,UT,boi,1
2013-12-23,UT,bruhhh,1
2013-12-23,UT,fleek,0
2013-12-23,VA,anime,1
2013-12-23,VA,bae,40
2013-12-23,VA,boi,1
2013-12-23,VA,bruhhh,1
2013-12-23,VA,fleek,0
2013-12-23,VT,anime,0
2013-12-23,VT,bae,1
2013-12-23,VT,boi,0
2013-12-23,VT,bruhhh,0
2013-12-23,VT,fleek,0
2013-12-23,WA,anime,6
2013-12-23,WA,bae,55
2013-12-23,WA,boi,9
2013-12-23,WA,bruhhh,0
2013-12-23,WA,fleek,0
2013-12-23,WI,anime,0
2013-12-23,WI,bae,49
2013-12-23,WI,boi,3
2013-12-23,WI,bruhhh,0
2013-12-23,WI,fleek,0
2013-12-23,WV,anime,0
2013-12-23,WV,bae,4
2013-12-23,WV,boi,1
2013-12-23,WV,bruhhh,0
2013-12-23,WV,fleek,0
2013-12-23,WY,anime,0
2013-12-23,WY,bae,1
2013-12-23,WY,boi,0
2013-12-23,WY,bruhhh,0
2013-12-23,WY,fleek,0
2013-12-24,AL,anime,0
2013-12-24,AL,bae,143
2013-12-24,AL,boi,10
2013-12-24,AL,bruhhh,3
2013-12-24,AL,fleek,0
2013-12-24,AR,anime,0
2013-12-24,AR,bae,22
2013-12-24,AR,boi,2
2013-12-24,AR,bruhhh,0
2013-12-24,AR,fleek,0
2013-12-24,AZ,anime,2
2013-12-24,AZ,bae,88
2013-12-24,AZ,boi,5
2013-12-24,AZ,bruhhh,2
2013-12-24,AZ,fleek,0
2013-12-24,CA,anime,19
2013-12-24,CA,bae,570
2013-12-24,CA,boi,61
2013-12-24,CA,bruhhh,14
2013-12-24,CA,fleek,0
2013-12-24,CO,anime,1
2013-12-24,CO,bae,46
2013-12-24,CO,boi,6
2013-12-24,CO,bruhhh,1
2013-12-24,CO,fleek,0
2013-12-24,CT,anime,1
2013-12-24,CT,bae,41
2013-12-24,CT,boi,7
2013-12-24,CT,bruhhh,2
2013-12-24,CT,fleek,0
2013-12-24,DE,anime,0
2013-12-24,DE,bae,4
2013-12-24,DE,boi,0
2013-12-24,DE,bruhhh,0
2013-12-24,DE,fleek,0
2013-12-24,FL,anime,8
2013-12-24,FL,bae,486
2013-12-24,FL,boi,31
2013-12-24,FL,bruhhh,8
2013-12-24,FL,fleek,0
2013-12-24,GA,anime,2
2013-12-24,GA,bae,322
2013-12-24,GA,boi,20
2013-12-24,GA,bruhhh,6
2013-12-24,GA,fleek,0
2013-12-24,IA,anime,1
2013-12-24,IA,bae,25
2013-12-24,IA,boi,4
2013-12-24,IA,bruhhh,0
2013-12-24,IA,fleek,0
2013-12-24,ID,anime,0
2013-12-24,ID,bae,2
2013-12-24,ID,boi,5
2013-12-24,ID,bruhhh,0
2013-12-24,ID,fleek,0
2013-12-24,IL,anime,0
2013-12-24,IL,bae,29
2013-12-24,IL,boi,10
2013-12-24,IL,bruhhh,0
2013-12-24,IL,fleek,0
2013-12-24,IN,anime,1
2013-12-24,IN,bae,52
2013-12-24,IN,boi,2
2013-12-24,IN,bruhhh,0
2013-12-24,IN,fleek,0
2013-12-24,KS,anime,0
2013-12-24,KS,bae,9
2013-12-24,KS,boi,2
2013-12-24,KS,bruhhh,0
2013-12-24,KS,fleek,0
2013-12-24,KY,anime,0
2013-12-24,KY,bae,12
2013-12-24,KY,boi,2
2013-12-24,KY,bruhhh,0
2013-12-24,KY,fleek,0
2013-12-24,LA,anime,0
2013-12-24,LA,bae,197
2013-12-24,LA,boi,11
2013-12-24,LA,bruhhh,6
2013-12-24,LA,fleek,0
2013-12-24,MA,anime,0
2013-12-24,MA,bae,9
2013-12-24,MA,boi,6
2013-12-24,MA,bruhhh,0
2013-12-24,MA,fleek,0
2013-12-24,MD,anime,2
2013-12-24,MD,bae,143
2013-12-24,MD,boi,10
2013-12-24,MD,bruhhh,2
2013-12-24,MD,fleek,0
2013-12-24,ME,anime,0
2013-12-24,ME,bae,1
2013-12-24,ME,boi,1
2013-12-24,ME,bruhhh,0
2013-12-24,ME,fleek,0
2013-12-24,MI,anime,4
2013-12-24,MI,bae,166
2013-12-24,MI,boi,23
2013-12-24,MI,bruhhh,0
2013-12-24,MI,fleek,0
2013-12-24,MN,anime,0
2013-12-24,MN,bae,2
2013-12-24,MN,boi,0
2013-12-24,MN,bruhhh,0
2013-12-24,MN,fleek,0
2013-12-24,MO,anime,0
2013-12-24,MO,bae,3
2013-12-24,MO,boi,1
2013-12-24,MO,bruhhh,0
2013-12-24,MO,fleek,0
2013-12-24,MS,anime,0
2013-12-24,MS,bae,42
2013-12-24,MS,boi,0
2013-12-24,MS,bruhhh,0
2013-12-24,MS,fleek,0
2013-12-24,MT,anime,0
2013-12-24,MT,bae,2
2013-12-24,MT,boi,0
2013-12-24,MT,bruhhh,0
2013-12-24,MT,fleek,0
2013-12-24,NC,anime,4
2013-12-24,NC,bae,152
2013-12-24,NC,boi,8
2013-12-24,NC,bruhhh,6
2013-12-24,NC,fleek,0
2013-12-24,ND,anime,0
2013-12-24,ND,bae,0
2013-12-24,ND,boi,0
2013-12-24,ND,bruhhh,0
2013-12-24,ND,fleek,0
2013-12-24,NE,anime,0
2013-12-24,NE,bae,1
2013-12-24,NE,boi,0
2013-12-24,NE,bruhhh,0
2013-12-24,NE,fleek,0
2013-12-24,NH,anime,0
2013-12-24,NH,bae,1
2013-12-24,NH,boi,1
2013-12-24,NH,bruhhh,0
2013-12-24,NH,fleek,0
2013-12-24,NJ,anime,0
2013-12-24,NJ,bae,26
2013-12-24,NJ,boi,3
2013-12-24,NJ,bruhhh,0
2013-12-24,NJ,fleek,0
2013-12-24,NM,anime,1
2013-12-24,NM,bae,7
2013-12-24,NM,boi,0
2013-12-24,NM,bruhhh,0
2013-12-24,NM,fleek,0
2013-12-24,NV,anime,1
2013-12-24,NV,bae,49
2013-12-24,NV,boi,4
2013-12-24,NV,bruhhh,0
2013-12-24,NV,fleek,0
2013-12-24,NY,anime,0
2013-12-24,NY,bae,61
2013-12-24,NY,boi,7
2013-12-24,NY,bruhhh,1
2013-12-24,NY,fleek,0
2013-12-24,OH,anime,6
2013-12-24,OH,bae,190
2013-12-24,OH,boi,27
2013-12-24,OH,bruhhh,2
2013-12-24,OH,fleek,0
2013-12-24,OK,anime,1
2013-12-24,OK,bae,43
2013-12-24,OK,boi,8
2013-12-24,OK,bruhhh,0
2013-12-24,OK,fleek,0
2013-12-24,OR,anime,0
2013-12-24,OR,bae,8
2013-12-24,OR,boi,4
2013-12-24,OR,bruhhh,0
2013-12-24,OR,fleek,0
2013-12-24,PA,anime,2
2013-12-24,PA,bae,73
2013-12-24,PA,boi,11
2013-12-24,PA,bruhhh,0
2013-12-24,PA,fleek,0
2013-12-24,SC,anime,0
2013-12-24,SC,bae,72
2013-12-24,SC,boi,10
2013-12-24,SC,bruhhh,3
2013-12-24,SC,fleek,0
2013-12-24,SD,anime,0
2013-12-24,SD,bae,2
2013-12-24,SD,boi,0
2013-12-24,SD,bruhhh,0
2013-12-24,SD,fleek,0
2013-12-24,TN,anime,0
2013-12-24,TN,bae,33
2013-12-24,TN,boi,5
2013-12-24,TN,bruhhh,0
2013-12-24,TN,fleek,0
2013-12-24,TX,anime,16
2013-12-24,TX,bae,890
2013-12-24,TX,boi,69
2013-12-24,TX,bruhhh,20
2013-12-24,TX,fleek,0
2013-12-24,UT,anime,3
2013-12-24,UT,bae,12
2013-12-24,UT,boi,8
2013-12-24,UT,bruhhh,1
2013-12-24,UT,fleek,0
2013-12-24,VA,anime,1
2013-12-24,VA,bae,40
2013-12-24,VA,boi,5
2013-12-24,VA,bruhhh,2
2013-12-24,VA,fleek,0
2013-12-24,VT,anime,0
2013-12-24,VT,bae,0
2013-12-24,VT,boi,0
2013-12-24,VT,bruhhh,0
2013-12-24,VT,fleek,0
2013-12-24,WA,anime,2
2013-12-24,WA,bae,57
2013-12-24,WA,boi,9
2013-12-24,WA,bruhhh,2
2013-12-24,WA,fleek,0
2013-12-24,WI,anime,0
2013-12-24,WI,bae,61
2013-12-24,WI,boi,3
2013-12-24,WI,bruhhh,0
2013-12-24,WI,fleek,0
2013-12-24,WV,anime,0
2013-12-24,WV,bae,5
2013-12-24,WV,boi,1
2013-12-24,WV,bruhhh,0
2013-12-24,WV,fleek,0
2013-12-24,WY,anime,0
2013-12-24,WY,bae,0
2013-12-24,WY,boi,0
2013-12-24,WY,bruhhh,0
2013-12-24,WY,fleek,0
2013-12-25,AL,anime,1
2013-12-25,AL,bae,122
2013-12-25,AL,boi,5
2013-12-25,AL,bruhhh,3
2013-12-25,AL,fleek,0
2013-12-25,AR,anime,0
2013-12-25,AR,bae,15
2013-12-25,AR,boi,2
2013-12-25,AR,bruhhh,0
2013-12-25,AR,fleek,0
2013-12-25,AZ,anime,2
2013-12-25,AZ,bae,99
2013-12-25,AZ,boi,8
2013-12-25,AZ,bruhhh,1
2013-12-25,AZ,fleek,0
2013-12-25,CA,anime,11
2013-12-25,CA,bae,625
2013-12-25,CA,boi,73
2013-12-25,CA,bruhhh,14
